citing_patent,citing_title,citing_assignee,citing_url
US-9984130-B2,Batch-optimized render and fetch architecture utilizing a virtual clock,"GOOGLE INC, GOOGLE LLC",https://patents.google.com/patent/US9984130B2
US-10489389-B2,"Experience analytic objects, systems and methods","TAPTHERE INC, WORMHOLE LABS INC",https://patents.google.com/patent/US10489389B2
US-2006167854-A1,System and method for improving online search engine results,"DISSETT DANIEL P, BORKOVSKY ARKADY, CARSON CHARLES C JR",https://patents.google.com/patent/US20060167854A1
US-2003128233-A1,Path-analysis toolbar,Stephane Kasriel,https://patents.google.com/patent/US20030128233A1
US-8788320-B1,Release advertisement system,"SNYDER LUKE ARON, BETZ STEPHAN G, AMAZON TECH INC",https://patents.google.com/patent/US8788320B1
US-2009248622-A1,Method and device for indexing resource content in computer networks,IBM,https://patents.google.com/patent/US20090248622A1
US-9348912-B2,Document length as a static relevance feature for ranking search results,"TANKOVICH VLADIMIR, MEYERZON DMITRIY, TAYLOR MICHAEL JAMES, MICROSOFT TECHNOLOGY LICENSING LLC",https://patents.google.com/patent/US9348912B2
US-8266143-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8266143B2
US-2003158839-A1,System and method for determining relevancy of query responses in a distributed network search mechanism,"Yaroslav Faybishenko, Kan Gene H., Doolin David M., Steve Waterhouse, Sherif Botros",https://patents.google.com/patent/US20030158839A1
CN-103634461-A,Mobile terminal and control method thereof,LG ELECTRONICS INC,https://patents.google.com/patent/CN103634461A
US-10956502-B2,Method of and system for recommending fresh search query suggestions on search engine,YANDEX EUROPE AG,https://patents.google.com/patent/US10956502B2
US-8203952-B2,Using network traffic logs for search enhancement,"BORKOVSKY ARKADY, COOK DOUGLAS M, LANGLOIS JEAN-MARC, POUTANEN TOMI, ZHA HONGYUAN, YAHOO INC",https://patents.google.com/patent/US8203952B2
US-7865494-B2,Personalized indexing and searching for information in a distributed data processing system,IBM,https://patents.google.com/patent/US7865494B2
US-8738635-B2,Detection of junk in search result ranking,"TANKOVICH VLADIMIR, MEYERZON DMITRIY, POZNANSKI VICTOR, MICROSOFT CORP",https://patents.google.com/patent/US8738635B2
US-8082244-B2,Systems and methods for determining document freshness,"HENZINGER MONIKA, GOOGLE INC",https://patents.google.com/patent/US8082244B2
US-7792811-B2,Intelligent search with guiding info,TRANSAXTIONS LLC,https://patents.google.com/patent/US7792811B2
US-10216847-B2,Document reuse in a search engine crawler,"GOOGLE INC, GOOGLE LLC",https://patents.google.com/patent/US10216847B2
US-9582536-B2,Long-term validity of pre-computed request results,AMADEUS SAS,https://patents.google.com/patent/US9582536B2
US-2006010194-A1,"Document data managing apparatus, document data management method, and computer product",FUJITSU LTD,https://patents.google.com/patent/US20060010194A1
US-6961723-B2,System and method for determining relevancy of query responses in a distributed network search mechanism,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US6961723B2
US-7840569-B2,Enterprise relevancy ranking using a neural network,MICROSOFT CORP,https://patents.google.com/patent/US7840569B2
US-2005198268-A1,Network traffic monitoring for search popularity analysis,Rohit Chandra,https://patents.google.com/patent/US20050198268A1
US-2003202009-A1,Integration toolbar,Stephane Kasriel,https://patents.google.com/patent/US20030202009A1
US-2003126120-A1,System and method for multiple data sources to plug into a standardized interface for distributed deep search,"Yaroslav Faybishenko, Kan Gene H., Camarda Thomas J., Doolin David M., Steve Waterhouse, John Beatty",https://patents.google.com/patent/US20030126120A1
CN-107169085-A,A kind of data search system,SHANGHAI XINCHU INTEGRATED CIRCUIT CO LTD,https://patents.google.com/patent/CN107169085A
US-2007271268-A1,Architecture for an indexer,IBM,https://patents.google.com/patent/US20070271268A1
CN-112052247-A,"Index updating system, method and device of search engine, electronic equipment and storage medium",WEDOC CLOUD HANGZHOU HOLDINGS CO LTD,https://patents.google.com/patent/CN112052247A
US-8386460-B1,Managing URLs,"GOOGLE INC, ALPERT JESSE L, TAMMANA PRAVEEN K, KURZION YAIR",https://patents.google.com/patent/US8386460B1
US-7685200-B2,Ranking and suggesting candidate objects,MICROSOFT CORP,https://patents.google.com/patent/US7685200B2
US-8112426-B2,Document scoring based on document content update,"ACHARYA ANURAG, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8112426B2
US-2006041536-A1,Method and system for identifying keywords for use in placing keyword-targeted advertisements,"SCHOLL NATHANIEL B, DENEUI ALEXANDER W",https://patents.google.com/patent/US20060041536A1
US-10402431-B2,Method and system for identifying keywords for use in placing keyword-targeted advertisements,AMAZON TECH INC,https://patents.google.com/patent/US10402431B2
WO-2020081449-A1,"Search mining method, apparatus, storage medium, and electronic device",ALIBABA GROUP HOLDING LTD,https://patents.google.com/patent/WO2020081449A1
US-2005155031-A1,"Changed file identification, software conflict resolution and unwanted file removal",MICROSOFT CORP,https://patents.google.com/patent/US20050155031A1
US-2006074871-A1,System and method for incorporating anchor text into ranking search results,MICROSOFT CORP,https://patents.google.com/patent/US20060074871A1
US-2005144193-A1,Systems and methods for determining document freshness,Monika Henzinger,https://patents.google.com/patent/US20050144193A1
US-8042112-B1,Scheduler for search engine crawler,GOOGLE INC,https://patents.google.com/patent/US8042112B1
US-2006036400-A1,Web-site performance analysis system and method of providing a web-site performance analysis service,"KASRIEL STEPHANE, SWANSON SARA, MANN WALTER",https://patents.google.com/patent/US20060036400A1
US-7013303-B2,System and method for multiple data sources to plug into a standardized interface for distributed deep search,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US7013303B2
US-2014058999-A1,Mobile terminal and control method thereof,SEO DONGWOOK,https://patents.google.com/patent/US20140058999A1
US-8700493-B2,Methods and apparatus for freshness and completeness of information,"CAO YU, NAMUL APPLIC LLC",https://patents.google.com/patent/US8700493B2
US-2004015542-A1,Hypermedia management system,"Anonsen Steven P., Huck Jason Alan, Seefeldt Daniel Edward",https://patents.google.com/patent/US20040015542A1
US-7761448-B2,System and method for ranking search results using click distance,MICROSOFT CORP,https://patents.google.com/patent/US7761448B2
US-8666964-B1,Managing items in crawl schedule,"ALPERT JESSE L, GOOGLE INC",https://patents.google.com/patent/US8666964B1
US-9736212-B2,Optimized browser rendering process,GOOGLE INC,https://patents.google.com/patent/US9736212B2
US-8775403-B2,Scheduler for search engine crawler,"RANDALL KEITH H, GOOGLE INC",https://patents.google.com/patent/US8775403B2
US-7865461-B1,System and method for cleansing enterprise data,AT & T IP II LP,https://patents.google.com/patent/US7865461B1
US-2014067834-A1,"Experience Analytic Objects, Systems and Methods",TAPTHERE INC,https://patents.google.com/patent/US20140067834A1
US-7631035-B2,Path-analysis toolbar,DIGITAL RIVER INC,https://patents.google.com/patent/US7631035B2
US-2011173177-A1,Sightful cache: efficient invalidation for search engine caching,"JUNQUEIRA FLAVIO, ZARAGOZA HUGO",https://patents.google.com/patent/US20110173177A1
US-8676783-B1,Method and apparatus for managing a backlog of pending URL crawls,"FEDORYNSKI PAWEL ALEKSANDER, SAMADDAR SUMITRO, GOOGLE INC",https://patents.google.com/patent/US8676783B1
US-8527524-B2,Document scoring based on document content update,"ACHARYA ANURAG, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8527524B2
US-8316029-B2,Document scoring based on traffic associated with a document,"LAWRENCE STEVE, GOOGLE INC",https://patents.google.com/patent/US8316029B2
US-2007016583-A1,Enforcing native access control to indexed documents,"LEMPEL RONNY, LEYBA TODD, MCPHERSON JOHN A JR, PEREZ JUSTO L",https://patents.google.com/patent/US20070016583A1
US-8554852-B2,System and method for targeting advertisements or other information using user geographical information,"BURNIM JACOB SAMUELS, GOOGLE INC",https://patents.google.com/patent/US8554852B2
US-8290986-B2,Determining quality measures for web objects based on searcher behavior,"POPESCUL ALEXANDRIN, BRUNK CLIFFORD A, ZIMAK NADAV A, TSIOUTSIOULIKLIS KOSTAS, YAHOO INC",https://patents.google.com/patent/US8290986B2
US-8509266-B2,Using network traffic logs for search engine index updates,"BORKOVSKY ARKADY, COOK DOUGLAS M, LANGLOIS JEAN-MARC, POUTANEN TOMI, ZHA HONGYUAN, YAHOO INC",https://patents.google.com/patent/US8509266B2
US-7461064-B2,Method for searching documents for ranges of numeric values,INTERNAT BUINESS MACHINES CORP,https://patents.google.com/patent/US7461064B2
US-7827181-B2,Click distance determination,MICROSOFT CORP,https://patents.google.com/patent/US7827181B2
US-8655727-B2,Method and system for generating and placing keyword-targeted advertisements,"SCHOLL NATHANIEL BLAKE, POWER JOANNA, DENEUI ALEXANDER, AMAZON TECH INC",https://patents.google.com/patent/US8655727B2
US-7467131-B1,Method and system for query data caching and optimization in a search engine system,GOOGLE INC,https://patents.google.com/patent/US7467131B1
US-2003131106-A1,Web-page performance toolbar,Stephane Kasriel,https://patents.google.com/patent/US20030131106A1
US-7996397-B2,Using network traffic logs for search enhancement,YAHOO INC,https://patents.google.com/patent/US7996397B2
US-7716198-B2,Ranking search results using feature extraction,MICROSOFT CORP,https://patents.google.com/patent/US7716198B2
US-8812493-B2,Search results ranking using editing distance and document information,"TANKOVICH VLADIMIR, LI HANG, MEYERZON DMITRIY, XU JUN, MICROSOFT CORP",https://patents.google.com/patent/US8812493B2
US-2010332348-A1,Methods and Apparatus for Freshness and Completeness of Information,PLATFORMATION INC,https://patents.google.com/patent/US20100332348A1
US-7840572-B2,Document scoring based on document inception date,GOOGLE INC,https://patents.google.com/patent/US7840572B2
US-7797316-B2,Systems and methods for determining document freshness,GOOGLE INC,https://patents.google.com/patent/US7797316B2
US-8285724-B2,System and program for handling anchor text,"KRAFT REINER, NEUMANN ANDREAS, IBM",https://patents.google.com/patent/US8285724B2
US-7970761-B2,Automatic identification of components for a compound document in a content management system,IBM,https://patents.google.com/patent/US7970761B2
US-2008215583-A1,Ranking and Suggesting Candidate Objects,MICROSOFT CORP,https://patents.google.com/patent/US20080215583A1
US-9984165-B2,Increasing search result validity,AMADEUS SAS,https://patents.google.com/patent/US9984165B2
US-9785720-B2,Script optimized browser rendering process,GOOGLE INC,https://patents.google.com/patent/US9785720B2
US-7949714-B1,System and method for targeting advertisements or other information using user geographical information,GOOGLE INC,https://patents.google.com/patent/US7949714B1
US-9489449-B1,Method and system for identifying keywords for use in placing keyword-targeted advertisements,"SCHOLL NATHANIEL B, DENEUI ALEXANDER W, AMAZON TECH INC",https://patents.google.com/patent/US9489449B1
US-2014324818-A1,Scheduler for Search Engine Crawler,GOOGLE INC,https://patents.google.com/patent/US20140324818A1
US-2007088693-A1,Document scoring based on traffic associated with a document,GOOGLE INC,https://patents.google.com/patent/US20070088693A1
US-8239378-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8239378B2
US-8782032-B2,Minimizing visibility of stale content in web searching including revising web crawl intervals of documents,GOOGLE INC,https://patents.google.com/patent/US8782032B2
US-2006136411-A1,Ranking search results using feature extraction,MICROSOFT CORP,https://patents.google.com/patent/US20060136411A1
US-2010023432-A1,Takeoff List Palette For Guiding Semi-Automatic Quantity Takeoff From Computer Aided Design Drawings,WOOD ANDREW,https://patents.google.com/patent/US20100023432A1
US-2006212265-A1,Method and system for assessing quality of search engines,IBM,https://patents.google.com/patent/US20060212265A1
US-2007100817-A1,Document scoring based on document content update,GOOGLE INC,https://patents.google.com/patent/US20070100817A1
US-9495462-B2,Re-ranking search results,"POZNANSKI VICTOR, WANG OIVIND, HOLM FREDRIK, BODD NICOLAI, TANKOVICH VLADIMIR, MEYERZON DMITRIY, MICROSOFT TECHNOLOGY LICENSING LLC",https://patents.google.com/patent/US9495462B2
US-8051071-B2,Document scoring based on query analysis,GOOGLE INC,https://patents.google.com/patent/US8051071B2
AU-2006252227-B2,Document scoring based on link-based criteria,GOOGLE LLC,https://patents.google.com/patent/AU2006252227B2
US-2004059997-A1,Systems and methods for displaying statistical information on a web page,MYFAMILY COM INC,https://patents.google.com/patent/US20040059997A1
US-9817896-B2,Search query scoring and popularity monitoring and systems and methods therefor,"CHANNELL BRIAN PAUL, EXCALIBUR IP LLC",https://patents.google.com/patent/US9817896B2
US-2003128231-A1,Dynamic path analysis,"Stephane Kasriel, Sara Swanson",https://patents.google.com/patent/US20030128231A1
DE-102007041917-B4,0,FISHER ROSEMOUNT SYSTEMS INC,https://patents.google.com/patent/DE102007041917B4
US-9002725-B1,System and method for targeting information based on message content,"CAROBUS ALEXANDER PAUL, WANG NINIANE, JACOBS JARED, COLEMAN KEITH, MAHADEVAN UMA, GOOGLE INC",https://patents.google.com/patent/US9002725B1
US-2010145935-A1,Data network service based on profiling ip-addresses,KONINKL KPN NV,https://patents.google.com/patent/US20100145935A1
US-11014252-B2,Robot system,NIDEC SANKYO CORP,https://patents.google.com/patent/US11014252B2
US-2004133629-A1,"Methods, systems and devices for automated web publishing and distribution","Brian Reynolds, Barr Frank Stewart",https://patents.google.com/patent/US20040133629A1
KR-20030090351-A,e-book display system of moving picture for the internet,"BIOSLABKOREA CO LTD, SEO YOUNG KYU",https://patents.google.com/patent/KR20030090351A
US-2004036713-A1,"System, method, and computer program product in a data processing system for defining a process by graphically guiding an example input through selected processing nodes",IBM,https://patents.google.com/patent/US20040036713A1
US-2005097013-A1,"System and method of managing registration, sale, distribution and use of regulated agricultural products and the licensing/certification of dealers and applicators of agricultural products","Kelly J. K., Edmondson Peter S.",https://patents.google.com/patent/US20050097013A1
US-2005021411-A1,Product code availability,"Anderson Glen J., Kroening James L.",https://patents.google.com/patent/US20050021411A1
US-2004034771-A1,Method and system for changing security information in a computer network,"Edgett Jeff Steven, Singam Sunder",https://patents.google.com/patent/US20040034771A1
US-2003182556-A1,Method and system to secure a connection application for distribution to multiple end-users,"Singam Sunder, Jeff Edgett",https://patents.google.com/patent/US20030182556A1
US-2003056092-A1,Method and system for associating a plurality of transaction data records generated in a service access system,"Edgett Jeff Steven, Singam Sunder",https://patents.google.com/patent/US20030056092A1
US-7519695-B2,Service quality monitoring process,IPASS INC,https://patents.google.com/patent/US7519695B2
US-2020195718-A1,Workflow coordination in coordination namespace,IBM,https://patents.google.com/patent/US20200195718A1
US-2010174894-A1,"Method, Apparatus, and System for Configuring an Operating System on a Target Computer",LENOVO SINGAPORE PTE LTD,https://patents.google.com/patent/US20100174894A1
US-10027613-B2,Method and system of automating data capture from electronic correspondence,MERCURY KINGDOM ASSETS LTD,https://patents.google.com/patent/US10027613B2
US-8606885-B2,Method and system of providing access point data associated with a network access point,"SUNDER SINGAM, EDGETT JEFF STEVEN, ALBERT ROY DAVID, IPASS INC",https://patents.google.com/patent/US8606885B2
US-7792745-B2,Method and system to facilitate financial settlement of service access transactions between multiple parties,IPASS INC,https://patents.google.com/patent/US7792745B2
US-2005256841-A1,Method and system of implementing recorded data for automating internet interactions,"RAWAT JAI, PALNITKAR SAMIR",https://patents.google.com/patent/US20050256841A1
US-7961884-B2,Method and system for changing security information in a computer network,IPASS INC,https://patents.google.com/patent/US7961884B2
CN-102479094-A,Operation method of portable communication device,INVENTEC CORP,https://patents.google.com/patent/CN102479094A
US-8250630-B2,Detecting unauthorized computer access,"MENDONCA EDUARDO, CISCO TECH INC",https://patents.google.com/patent/US8250630B2
US-2004036709-A1,"System, method, and computer program product in a data processing system for registering with a service utilizing a graphical depiction of a process definition",IBM,https://patents.google.com/patent/US20040036709A1
US-7761606-B2,Method and system to secure a connection application for distribution to multiple end-users,IPASS INC,https://patents.google.com/patent/US7761606B2
US-8095597-B2,Method and system of automating data capture from electronic correspondence,"RAWAT JAI, DOUNDAKOVA SILVIA, D SA OSWALD DOMINIC, GORDON JULIAN, KULKARNI RENUKA, DHANAPAL VIJAYASANKAR, GUBBALA SRINIVAS, RAMAN SANTHOSH, ANAND RAJIV, AOL INC",https://patents.google.com/patent/US8095597B2
US-6981028-B1,Method and system of implementing recorded data for automating internet interactions,OBONGO INC,https://patents.google.com/patent/US6981028B1
US-6963846-B1,"System and method of managing registration, sale, distribution and use of regulated agricultural products and the licensing/certification of dealers and applicators of agricultural products",KELLY REGISTRATION SYSTEMS INC,https://patents.google.com/patent/US6963846B1
US-8560621-B2,Method and system of automating data capture from electronic correspondence,"RAWAT JAI, DOUNDAKOVA SILVIA, D SA OSWALD DOMINIC, GORDON JULIAN, KULKARNI RENUKA, DHANAPAL VIJAYASANKAR, GUBBALA SRINIVAS, RAMAN SANTHOSH, ANAND RAJIV, MERCURY KINGDOM ASSETS LTD",https://patents.google.com/patent/US8560621B2
US-9280763-B2,Method and system of automating data capture from electronic correspondence,MERCURY KINGDOM ASSETS LTD,https://patents.google.com/patent/US9280763B2
US-7240112-B2,Service quality monitoring process,IPASS INC,https://patents.google.com/patent/US7240112B2
US-2003188160-A1,Method and system to securely update files via a network,"Singam Sunder, Jeff Edgett",https://patents.google.com/patent/US20030188160A1
US-2001034704-A1,Method and system to facilitate financial settlement of service access transactions between multiple parties,"Jay Farhat, Alla Rozenfeld, Singam Sunder, Jeff Edgett, Can Vu",https://patents.google.com/patent/US20010034704A1
US-2009320145-A1,"Apparatus, method, and computer program for controlling use of a content",SONY CORP,https://patents.google.com/patent/US20090320145A1
US-2003065919-A1,Method and system for identifying a replay attack by an access device to a computer system,"Albert Roy David, Edgett Jeff Steven, Singam Sunder",https://patents.google.com/patent/US20030065919A1
US-8510861-B2,Anti-piracy software protection system and method,"ERIKSSON THOMAS, WENZEL JURGEN, KARLSSON TOBIAS, RESOURCE CONSORTIUM LTD",https://patents.google.com/patent/US8510861B2
US-2004068693-A1,Client side form filler that populates form fields based on analyzing visible field labels and visible display format hints without previous examination or mapping of the form,"Jai Rawat, Bhatia Ajoy Kumar, Zissimopoulos Vasileios ?Quot;Bill?Quot;",https://patents.google.com/patent/US20040068693A1
US-2005125250-A1,"System and method of managing registration, sale, distribution and use of regulated agricultural products and the licensing/certification of dealers and applicators of agricultural products","Kelly J. K., Edmondson Peter S.",https://patents.google.com/patent/US20050125250A1
US-2010212028-A1,Anti-piracy software protection system and method,"ERIKSSON THOMAS, WENZEL JURGEN, KARLSSON TOBIAS",https://patents.google.com/patent/US20100212028A1
US-2010229219-A1,Detecting unauthorized computer access,MENDONCA EDUARDO,https://patents.google.com/patent/US20100229219A1
US-2002083429-A1,Method and system to customize and update a network connection application for distribution to multiple end-users,"Alla Rozenfeld, Singam Sunder, Tuan Bui",https://patents.google.com/patent/US20020083429A1
US-7191239-B2,Method and system to customize and update a network connection application for distribution to multiple end-users,IPASS INC,https://patents.google.com/patent/US7191239B2
US-2004059937-A1,"Apparatus, method and computer program for controlling use of a content",Takehiko Nakano,https://patents.google.com/patent/US20040059937A1
US-7614087-B2,"Apparatus, method and computer program for controlling use of a content",SONY CORP,https://patents.google.com/patent/US7614087B2
US-8443455-B2,"Apparatus, method, and computer program for controlling use of a content","NAKANO TAKEHIKO, SONY CORP",https://patents.google.com/patent/US8443455B2
US-2003056096-A1,Method and system for securely authenticating network access credentials for users,"Albert Roy David, Edgett Jeff Steven, Singam Sunder, Underwood James Marion",https://patents.google.com/patent/US20030056096A1
US-2006200419-A1,System and method for user role based product license generation,"COOK JOHANNA M, MAGEE ERICH S, PATEL HIRENKUMAR I",https://patents.google.com/patent/US20060200419A1
US-2005044359-A1,Anti-piracy software protection system and method,"Thomas Eriksson, Jurgen Wenzel, Tobias Karlsson",https://patents.google.com/patent/US20050044359A1
US-7958352-B2,Method and system for verifying and updating the configuration of an access device during authentication,IPASS INC,https://patents.google.com/patent/US7958352B2
US-2006190408-A1,System and method for customized bundled license generation,"COOK JOHANNA M, MAGEE ERICH S, PATEL HIRENKUMAR I",https://patents.google.com/patent/US20060190408A1
US-7921290-B2,Method and system for securely authenticating network access credentials for users,IPASS INC,https://patents.google.com/patent/US7921290B2
US-2001034693-A1,Method and system to broker a service access transaction,"Jay Farhat, Alla Rozenfeld, Singam Sunder, Jeff Edgett, Can Vu",https://patents.google.com/patent/US20010034693A1
US-2006230397-A1,Method for third-party registration of software components,"COOK JOHANNA M, MAGEE ERICH S, PATEL HIRENKUMAR I",https://patents.google.com/patent/US20060230397A1
US-2005204036-A1,Service quality monitoring process,IPASS INC,https://patents.google.com/patent/US20050204036A1
US-6754346-B2,Method for tracing the distribution of physical digital media,"Steven P. Eiserling, Ronald M Eiserling",https://patents.google.com/patent/US6754346B2
US-7469341-B2,Method and system for associating a plurality of transaction data records generated in a service access system,IPASS INC,https://patents.google.com/patent/US7469341B2
US-7716474-B2,Anti-piracy software protection system and method,BYTEBLAZE INC,https://patents.google.com/patent/US7716474B2
US-2002099683-A1,Verification of a benefit purchase incident to a computer system purchase,"Sloan Jeffrey N., Cobb Gary W.",https://patents.google.com/patent/US20020099683A1
US-2006179295-A1,Multiple system image options selective booting method and interface,INVENTEC CORP,https://patents.google.com/patent/US20060179295A1
US-8909889-B1,Method and apparatus for servicing host commands by a disk drive,"ONG CHOO-BHIN, GUDA CHANDRA M, WESTERN DIGITAL TECH INC",https://patents.google.com/patent/US8909889B1
US-2011179384-A1,Profile-based performance tuning of computing systems,"WOERNER THOMAS K, SNOOK CHRISTOPHER HAUGHEY",https://patents.google.com/patent/US20110179384A1
US-7719132-B2,Ruggedized mobile computing device,L3 COMM CORP,https://patents.google.com/patent/US7719132B2
US-7543168-B1,Specifying an operating system level to use after reboot,UNISYS CORP,https://patents.google.com/patent/US7543168B1
US-8516233-B2,Method for setting a boot list to disks with multiple boot logical volumes,"SMITH MARK DOUGLAS, IBM",https://patents.google.com/patent/US8516233B2
US-2011302343-A1,Systems and methods for providing instant-on functionality on an embedded controller,"BUTCHER WADE, MADDUKURI AKKIAH, JREIJ ELIE, DELL PRODUCTS LP",https://patents.google.com/patent/US20110302343A1
US-9852152-B2,Method for consistent storage of data in an industrial controller,ROCKWELL AUTOMATION TECH INC,https://patents.google.com/patent/US9852152B2
CN-103678030-A,Multi-system equipment start system and method thereof,HIKVISION DIGITAL TECH CO LTD,https://patents.google.com/patent/CN103678030A
EP-2017725-A1,Method of controlling a PDA phone and PDA phone using the same,"GIGA BYTE COMM INC, GIGA BYTE TECH CO LTD",https://patents.google.com/patent/EP2017725A1
US-2007011674-A1,Computer system and method for selectively installing one operating system among a plurality of operating systems,SAMSUNG ELECTRONICS CO LTD,https://patents.google.com/patent/US20070011674A1
US-8433307-B2,Method of controlling a PDA phone and PDA phone using the same,"CHEN WEI-TING, GIGA BYTE COMM INC, GIGA BYTE TECH CO LTD",https://patents.google.com/patent/US8433307B2
US-7991991-B2,"Apparatus operable under an operating system, method of controlling apparatus and computer-readable recording medium",FUJITSU LTD,https://patents.google.com/patent/US7991991B2
US-2006149956-A1,Instant-on computer system and method for instantly booting a computer system,MITAC TECHNOLOGY CORP,https://patents.google.com/patent/US20060149956A1
US-2006287820-A1,Host based satellite positioning systems,"YAMAMOTO CLIFFORD, NONIS SEBASTIAN, PANDE ASHUTOSH, BULATOVIC NIKOLA, WITANIS STEFAN",https://patents.google.com/patent/US20060287820A1
CN-112988242-A,System and method for searching installed starter to select starter to be executed,"INVENTEC TECHNOLOGY CO LTD, INVENTEC CORP",https://patents.google.com/patent/CN112988242A
US-2011029240-A1,Host based satellite positioning systems,SIRF TECH INC,https://patents.google.com/patent/US20110029240A1
US-2006288197-A1,Identifying an operating system associated with a boot path,"SWANSON ROBERT C, BULUSU MALLIK, ZIMMER VINCENT J, ROTHMAN MICHAEL A, TOLENTINO MATTHEW E",https://patents.google.com/patent/US20060288197A1
US-2011225216-A1,Method for consistent storage of data in an industrial controller,ROCKWELL AUTOMATION TECH INC,https://patents.google.com/patent/US20110225216A1
US-2004153641-A1,Computer system manager,Gordon Ritchie,https://patents.google.com/patent/US20040153641A1
US-8285978-B2,"Storage medium storing master boot record, computer system having the same and booting method of the computer system","KIM DEOK-RAE, CHO KEON-YOUNG, KIM KYUNG-YOUNG, NAM SEUNG-LEE, SAMSUNG ELECTRONICS CO LTD",https://patents.google.com/patent/US8285978B2
US-2005050313-A1,Method of turning on a computer,"Yi-Chang Chen, Chih-Hsuan Wu",https://patents.google.com/patent/US20050050313A1
US-9697010-B2,User selectable operating systems,"MICROSOFT CORP, MICROSOFT TECHNOLOGY LICENSING LLC",https://patents.google.com/patent/US9697010B2
US-2008318628-A1,Method of controlling a PDA phone and PDA phone using the same,GIGA BYTE TECH CO LTD,https://patents.google.com/patent/US20080318628A1
US-2006294352-A1,Speedy boot for computer systems,"MORRISON JOHN A, ALLISON MICHAEL S, HACK STEPHEN P",https://patents.google.com/patent/US20060294352A1
US-7302698-B1,Operation of trusted state in computing platform,HEWLETT PACKARD DEVELOPMENT CO,https://patents.google.com/patent/US7302698B1
US-2012144176-A1,Method for Setting a Boot List to Disks with Multiple Boot Logical Volumes,"SMITH MARK DOUGLAS, IBM",https://patents.google.com/patent/US20120144176A1
US-2003088764-A1,Method of supporting multiple PDA systems on a notebook PC,"Say-Ling Wen, Chaucer Chiu",https://patents.google.com/patent/US20030088764A1
US-2003014622-A1,System and method to enable a legacy BIOS system to boot from a disk that includes EFI GPT partitions,Jean-Francois Larvoire,https://patents.google.com/patent/US20030014622A1
US-7689820-B2,Rapid-boot computing device with dual operating systems,L3 COMM CORP,https://patents.google.com/patent/US7689820B2
CN-102346676-A,Multiple starting-up management method for computer,GIGA BYTE TECH CO LTD,https://patents.google.com/patent/CN102346676A
US-2008167128-A1,Television Viewing on Gaming Consoles,MICROSOFT CORP,https://patents.google.com/patent/US20080167128A1
US-9069475-B1,Hybrid drive selectively spinning up disk when powered on,"WILKINS VIRGIL V, WESTERN DIGITAL TECH INC",https://patents.google.com/patent/US9069475B1
WO-2009032445-A1,Integration model for instant-on environment,"DEVICEVM INC, TSAI WEN-PIN, CHONG BENEDICT T, SHEU PHILIP, DENG THOMAS, CHIN VICTOR, FANG XUN, SHIU JIAN-JUNG, WANG HONG-SHENG, LIN WEI-NAN",https://patents.google.com/patent/WO2009032445A1
US-2008167127-A1,Integration of Media on Gaming Consoles,MICROSOFT CORP,https://patents.google.com/patent/US20080167127A1
US-9183207-B2,Method for consistent storage of data in an industrial controller,ROCKWELL AUTOMATION TECH INC,https://patents.google.com/patent/US9183207B2
CN-101334724-B,Shutdown options setting method and device based on computer operating time,IBM,https://patents.google.com/patent/CN101334724B
US-9015622-B2,Profile-based performance tuning of computing systems,"WÖRNER THOMAS K, SNOOK CHRISTOPHER HAUGHEY, RED HAT INC",https://patents.google.com/patent/US9015622B2
KR-100725394-B1,Computer system and method for selectively installing a operating system from plural operating system,삼성전자주식회사,https://patents.google.com/patent/KR100725394B1
US-2009049442-A1,Data processing apparatus and software program activation method,CANON KK,https://patents.google.com/patent/US20090049442A1
US-2003182546-A1,"Information device, storage medium, and system activation method",TOSHIBA KK,https://patents.google.com/patent/US20030182546A1
US-2006294358-A1,Methods and computers for presenting a graphical user interface during a boot process,LITE ON TECHNOLOGY CORP,https://patents.google.com/patent/US20060294358A1
US-11223537-B1,Executing custom scripts from the host during disaster recovery,VERITAS TECHNOLOGIES LLC,https://patents.google.com/patent/US11223537B1
US-7899446-B2,Method of controlling a PDA phone and PDA phone using the same,"GIGA BYTE COMM INC, GIGA BYTE TECH CO LTD",https://patents.google.com/patent/US7899446B2
US-2007104340-A1,System and Method for Manufacturing a Transducer Module,KNOWLES ELECTRONICS LLC,https://patents.google.com/patent/US20070104340A1
US-7506265-B1,System and method for displaying images of virtual machine environments,MICROSOFT CORP,https://patents.google.com/patent/US7506265B1
